V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	V161101_doc	V161104_doc	V161106_doc	V161069_doc	V161072_doc	V161075_doc	V161078_doc	V161098_doc	party_id
4632	406672	31.0	1.0	3	1.0	1.0	0.0	3.0	6.5	6.5	1.5	4.5	democrat	bad previous decision, i dont care about the email scandal. 		ties with russian president, no military experience, racist	ending war on terrorism	for gun control	against gun control	against planned parent hood, womens rights	for gun control	against gun control	against planned parent hood, womens rights	democrat	bad previous decision, i dont care about the email scandal. 		ties with russian president, no military experience, racist	ending war on terrorism	0.0
4633	406675	18.0	0.0	2	1.0	2.0	0.0	6.0	4.5	3.5	3.5	4.0				foreign policy	views for future			view on gun control, abortion, and budget			view on gun control, abortion, and budget				foreign policy	views for future	0.0
4634	406678	45.0	1.0	2	1.0		0.0						work on boarder controll	not being truthfull	boarder controll	not doing boarder controll	seam more consurned about working people	pollitics as always		more consurned about big compenys	pollitics as always		more consurned about big compenys	work on boarder controll	not being truthfull	boarder controll	not doing boarder controll	seam more consurned about working people	0.0
4635	406680	36.0	1.0	3	5.0	1.0	0.0	6.0	6.0	5.0	3.0	4.5		her views on abortion and healthcare	he's not hilary	his carelessness about what he says		big government	supporting small business and government		big government	supporting small business and government			her views on abortion and healthcare	he's not hilary	his carelessness about what he says		2.0
4636	406681	26.0	0.0	2	2.0	2.0	0.0	3.5	5.5	6.0	4.0	6.5	she platforms to help the middle class. 	her true integrity. 	possibility of taking a different approach to leadership. 	his hostility towards minorities & his lack of governmenta	the party gears towards unifying the country and helping all	too quick to spend money.  to quick to take a stand sometimes		party is very one-sided it doesn't seek to help all the ppl	too quick to spend money.  to quick to take a stand sometimes		party is very one-sided it doesn't seek to help all the ppl	she platforms to help the middle class. 	her true integrity. 	possibility of taking a different approach to leadership. 	his hostility towards minorities & his lack of governmenta	the party gears towards unifying the country and helping all	1.0
4637	406682	59.0	1.0	3	2.0	3.0	0.0	5.5	6.0	5.0	4.5	7.0	experienced	dismissive, questionable ethics	outsider	poor character, crude, careless	good chilhood memories of my democrat [redacted family details]	it lacks focus, embraces ideas for votes	tends toward laissez faire business	i left r party, distasteful attitudes	it lacks focus, embraces ideas for votes	tends toward laissez faire business	i left r party, distasteful attitudes	experienced	dismissive, questionable ethics	outsider	poor character, crude, careless	good chilhood memories of my democrat [redacted family details]	1.0
4638	406685	59.0	0.0	1	0.0	3.0	0.0	4.5	5.5	6.0	4.0	4.0	she has experience and is more personable			his bigoted, misogynistic attitude	the democratic party is about helping the citizens			obstruction, hatred and arrogance			obstruction, hatred and arrogance	she has experience and is more personable			his bigoted, misogynistic attitude	the democratic party is about helping the citizens	0.0
4639	406686	37.0	1.0	1	0.0	1.0	0.0	4.0	4.0	4.0	4.0	4.0	every thing			everything	ok			ok			ok	every thing			everything	ok	0.0
4640	406695	38.0	1.0	2	0.0		0.0										for the people. . unions											for the people. . unions	0.0
4641	406698	32.0	1.0	2	5.0	2.0	0.5	4.5	4.5	4.0	3.5	3.5		she seems like a people pleaser that just says what she thin	he seems to be more honest regardless of what people think a										she seems like a people pleaser that just says what she thin	he seems to be more honest regardless of what people think a			2.0
4642	406699	45.0	1.0	2	6.0		0.0							honety	outsider			pulling nation into socialism	last chance	poor work	pulling nation into socialism	last chance	poor work		honety	outsider			2.0
4643	406702	20.0	0.0	2	0.0	3.0	0.5	4.0	4.0	4.5	4.0	4.0	affordable college			everything								affordable college			everything		0.0
4644	406704	90.0	1.0	3	3.0	3.0	0.0	6.5	7.0	5.5	4.0	7.0			econoimic	he'sflighty		raising taxes	slowing growth of gov. t	slowing growth of gov. t	raising taxes	slowing growth of gov. t	slowing growth of gov. t			econoimic	he'sflighty		1.0
4645	406705	46.0	1.0	3	6.0	3.0	0.0	4.0	5.0	4.5	4.0	5.5		i do not trust her like a wolf in sheep's clothing	he is what he is.   a wolf in wolf's clothing. 	he's not the best people person. 	women's rights	too much government regulation and health care	health care	views on abortion and gay rights	too much government regulation and health care	health care	views on abortion and gay rights		i do not trust her like a wolf in sheep's clothing	he is what he is.   a wolf in wolf's clothing. 	he's not the best people person. 	women's rights	2.0
4646	406706	58.0	1.0	1	1.0	1.0	0.0	6.0	6.0	6.0	3.0	4.5	experience	better canditate		not a polition	for the people	obama care	help business	trump	obama care	help business	trump	experience	better canditate		not a polition	for the people	0.0
4647	406711	73.0	1.0	2	6.0	3.0	0.0	2.5	5.0	7.0	2.0	2.5		dishonesty	not an entrenched politician			on track for socialism/marxism	more concern for the people	senate/house leaders weak	on track for socialism/marxism	more concern for the people	senate/house leaders weak		dishonesty	not an entrenched politician			2.0
4648	406715	39.0	1.0	3	4.0	1.0	0.5	2.0	6.0	6.0	6.0	4.0	her experience in the government	deceitfulness, force abortion support on religious business	he wants to protect america.  straight shooter	harsh comments, previous abuse of women, inexperience in gov	energy conservation, attempts to improve education	pro abortion, limiting religious rights	defending constitutional rights	feels like the republican party is not very strong. 	pro abortion, limiting religious rights	defending constitutional rights	feels like the republican party is not very strong. 	her experience in the government	deceitfulness, force abortion support on religious business	he wants to protect america.  straight shooter	harsh comments, previous abuse of women, inexperience in gov	energy conservation, attempts to improve education	1.0
4649	406716	22.0	1.0	3	1.0	2.0	0.5	1.5	5.5	6.5	3.5	3.5	liberal views	passive military		unethical views, no morals, unprofessional	liberal views, equal rights	pro choice	non pro choice	foreign policy	pro choice	non pro choice	foreign policy	liberal views	passive military		unethical views, no morals, unprofessional	liberal views, equal rights	0.0
4650	406723	40.0	0.0	2	4.0	3.0	0.0	4.0	4.0	4.0	4.0	4.0		constant lies to the american people	he speaks his mind and tells things how they are			the clintons, obama, ect. 	they tend to make decisions that i agree with		the clintons, obama, ect. 	they tend to make decisions that i agree with			constant lies to the american people	he speaks his mind and tells things how they are			1.0
4651	406725	67.0	0.0	1	0.0	3.0	0.0	4.5	4.5	6.0	3.0	5.0	experience				for the workers mainly							experience				for the workers mainly	0.0
4652	406726	23.0	0.0	1	1.0	2.0	0.0	4.0	4.0	6.5	2.5	6.0	she a woman trying to make history											she a woman trying to make history					0.0
4653	406729	27.0	1.0	2	1.0	0.0	0.0	4.5	5.0	6.0	1.0	6.0																	0.0
4654	406730	27.0	0.0	1	3.0	1.0	0.5	2.0	4.5	5.0	3.5	5.0		scandals		personality									scandals		personality		1.0
4655	406731	55.0	1.0	3	0.0	1.0	0.0	5.0	6.0	7.0	3.5	4.0	she is not donald trump. 			no boundaries or self regulation. 	support working low and middle class families. 			seem to block support for families. 			seem to block support for families. 	she is not donald trump. 			no boundaries or self regulation. 	support working low and middle class families. 	0.0
4656	406732	51.0	0.0	3	6.0	1.0	0.0	5.0	5.0	7.0	2.0	6.0		social programs fueled by taxes, lack of integrity, criminal	taxes, job creation	no think before speaking,no clasrespect from world leaders,		fit workers abusing social programs, over taxing wealthy	tax protection from hard earned effort, get fit people work	i want best person for job.  it shouldn't be one or other	fit workers abusing social programs, over taxing wealthy	tax protection from hard earned effort, get fit people work	i want best person for job.  it shouldn't be one or other		social programs fueled by taxes, lack of integrity, criminal	taxes, job creation	no think before speaking,no clasrespect from world leaders,		2.0
4657	406734	68.0	1.0	1	0.0	0.0	0.0	4.0	4.5	5.0	4.0	4.0																	0.0
4658	406738	54.0	0.0	2	0.0		0.0						she is for the peolple			he is not for the people	for the people	for the peolple		arrogance	for the peolple		arrogance	she is for the peolple			he is not for the people	for the people	0.0
4659	406739	36.0	1.0	2	0.0	2.0	0.5	5.0	4.5	6.5	1.5	6.0	she has experience in politics			his over all views on the country, females, and afro america	the party overall views			their views on health insurance, taxes college loans, and as			their views on health insurance, taxes college loans, and as	she has experience in politics			his over all views on the country, females, and afro america	the party overall views	0.0
4660	406741	38.0	1.0	2	3.0	3.0	0.0	4.0	6.5	1.0	1.0	1.0	married to bill clinton	married to bill clointon										married to bill clinton	married to bill clointon				1.0
4661	406743	65.0	1.0	2	0.0	1.0	0.0	3.5	5.5	6.0	5.5		experience			everything	hiliary clinton			donald trump			donald trump	experience			everything	hiliary clinton	0.0
4662	406746	90.0	1.0	1	5.0	2.0	0.5	4.0	6.5	6.0	2.5	5.5		power abuse,lying and back my the powers that backed obama		a temper and loose cannon action		history will repeat itself and that is not good			history will repeat itself and that is not good				power abuse,lying and back my the powers that backed obama		a temper and loose cannon action		2.0
4663	406747	32.0	1.0	3	0.0		0.0																						0.0
4664	406749	24.0	0.0	3	6.0	2.0	0.0	3.0	5.5	6.5	2.5	4.5		she's a liar and untrustworthy		he's a racist and an idiot		big government and socialism	strong defense spending and small government		big government and socialism	strong defense spending and small government			she's a liar and untrustworthy		he's a racist and an idiot		2.0
4665	406750	66.0	1.0	3	0.0	2.0	0.5	5.5	4.5	4.5	4.0	4.5	experience and driven			bigotry, lies	progressive stances			no back bones			no back bones	experience and driven			bigotry, lies	progressive stances	0.0
4666	406751	45.0	1.0	3	0.0	1.0	0.5	5.5	6.5	6.0	3.5	5.5	i tend to agree with her views on most topics	past scandals that involve her		everything about him	appear to be less bipartisan	dishonesty/scandal		extreme bipartisanship	dishonesty/scandal		extreme bipartisanship	i tend to agree with her views on most topics	past scandals that involve her		everything about him	appear to be less bipartisan	0.0
4667	406756		0.0	1	6.0	2.0	0.0	7.0	4.0	7.0	1.0	5.0		she is a liar and a criminal,just like her husband!!! she is	says what he thinks and isn't afraid too!!			obama care ,refugees,handouts	trying to improve america and the world	too much bickering between theme selves and demorcrats	obama care ,refugees,handouts	trying to improve america and the world	too much bickering between theme selves and demorcrats		she is a liar and a criminal,just like her husband!!! she is	says what he thinks and isn't afraid too!!			2.0
